BC,s,f0,s_err,f0_err
0,0.0,0.0398515699997923,0.0,0.03980201124537471
1,1.0058376940811136,0.03778833863802083,0.9653472701928587,0.03756531287911819
2,1.065582965221483,0.04463296781085186,1.0216236089534494,0.04431379248084685
3,1.0066516272289816,0.038286508280195655,0.9592869932366582,0.03922649054812
4,1.065521363544288,0.04773061597441162,1.0224143749961199,0.04767147385288016
5,1.0105456177122472,0.0499147616304802,0.9682478614735238,0.05002262142858985
6,1.007535763200736,0.04850402250068154,0.964834518449879,0.048055531623814374
7,1.0052865580789223,0.04120240403277106,0.9598909816759515,0.04165123942186766
8,1.0059020335213769,0.04687990047014242,0.9635883270614644,0.04778462399036232
9,0.9997520196967812,0.048328634684337866,0.9555608739676462,0.04828459217636892
10,1.0100233277146478,0.04538191594100605,0.9675537501687055,0.04504822209674789
11,1.0029308911896793,0.050245211082348286,0.9607804453285457,0.050345697351936246
12,1.011604179939517,0.0440518765702616,0.96800119493974,0.044327803293991934
13,1.002274071507669,0.04258387408394434,0.9568213277643772,0.043663799041681044
14,1.0014182061853658,0.04691147938130919,0.9582441386740246,0.04622212218601076
15,1.0074854154246118,0.05066611651113888,0.9653751787412352,0.05065817564500364
16,1.0118894598866952,0.04123369805643137,0.9645904983083656,0.041050372750300136
17,1.0649028825907672,0.03514631308603767,1.0228798373624053,0.03489068615629806
18,1.0089484090822884,0.04599810702247222,0.9627705417515681,0.04600975349209037
500,1.0117358585584983,0.012620999196107853,0.9684951777541341,0.012664258486183893
1000,1.0577900962834232,0.011364628172849951,1.0100778554653733,0.011721925867793196
1500,1.1117036828998466,0.011724370079792447,1.0681513018135878,0.01177877341980379
2000,1.1153550552612836,0.01048102374740853,1.0727950690813526,0.01038809213811601
5000,1.1196272545755979,0.013518563297103955,1.0768924992368365,0.013181269674397651
10000,1.1441928499635237,0.017865062029114375,1.1027809465262557,0.017358609595618416
15000,1.1892356338560157,0.018601788379861157,1.146826432935412,0.018269463160271133
30000,1.1848741489618047,0.024276445172750096,1.1423622385812255,0.024311091966247877
40000,1.231377573453483,0.005794108085879029,1.1876970807742337,0.005896836131768175
50000,1.2564593352929598,0.028414696082497724,1.2144132413380995,0.02783535789839682
