BC,s
0.0,1
1.0,[1.00426485]
2.0,[1.06957428]
3.0,[1.00614765]
4.0,[1.06642909]
5.0,[1.00801852]
6.0,[1.00561227]
7.0,[1.00222085]
8.0,[1.0029982]
9.0,[1.00049059]
10.0,[1.00619115]
11.0,[1.00364883]
12.0,[1.01127587]
13.0,[1.00043193]
14.0,[0.99881296]
15.0,[1.00690847]
16.0,[1.00637896]
17.0,[1.06693778]
18.0,[1.00424614]
500.0,[1.02490142]
1000.0,[1.06935247]
1500.0,[1.12058419]
2000.0,[1.12473023]
5000.0,[1.13559571]
10000.0,[1.14669411]
15000.0,[1.19039131]
30000.0,[1.17438554]
40000.0,[1.21718054]
50000.0,[1.24290053]
